"Message","TimeSent"
"Xamax","2024-06-20 15:45:44.888305"
"Hamax","2024-06-20 15:45:56.474525"
"Turns you into ham","2024-06-20 15:46:05.997321"
"gg","2024-06-20 15:49:09.589569"
"God game","2024-06-20 15:49:14.332631"
"also gg","2024-06-20 15:49:24.366323"
"HAMAX","2024-06-20 15:53:53.832932"
"Hmm inhaling acrid smoke from 911","2024-06-20 15:54:33.489753"
"The smell :D","2024-06-20 15:54:43.029993"
"percentage of AI generated guess of wallhack is ?!??!?","2024-06-20 15:56:21.008893"
"Go enjoy inhaling acrid smoke in while your candles burn your house down at the ritualistic birthday party","2024-06-20 15:57:03.826299"
"I MET JESUS LOOKS LIKE JESUS ACTS LIKE JESUS AWESOME VOICE","2024-06-20 15:58:51.361208"
"i've got jesus on snapchat bros","2024-06-20 15:59:33.761785"
"BROTHERS","2024-06-20 15:59:36.945801"
"When i asked him about his death on the cross he looked up like that","2024-06-20 16:00:20.307497"
"My intuition is acrid is not hacking","2024-06-20 16:01:05.848875"
"We were made in image of god","2024-06-20 16:01:59.791898"
"so God game","2024-06-20 16:02:03.475212"
"also good game","2024-06-20 16:02:07.723535"
"gg","2024-06-20 16:02:09.847723"
"So Jesus laughs like funny hes so awesome and cool","2024-06-20 16:05:24.683489"
"LMAO","2024-06-20 16:06:27.690497"
"Admin","2024-06-20 16:07:56.116026"
"Are these bots?","2024-06-20 16:08:01.383992"
"Good evening Xamax","2024-06-20 16:08:41.049503"
"They will look back at all of recorded trickshots earth will be amazed at the time put into getting that hitmarker :D","2024-06-20 16:10:46.814762"
"Share package!","2024-06-20 16:13:46.132586"
"Bless the enemies!","2024-06-20 16:13:52.988468"
"No way ammo lmao","2024-06-20 16:14:10.996610"
"What if chopper gunner :D BEAMING","2024-06-20 16:14:26.278983"
"IRL sick tho","2024-06-20 16:14:37.396403"
"Woah just got here","2024-06-21 01:25:39.490709"
"THC cloud inbound","2024-06-21 01:25:52.695373"
"actually its the terpenoidds","2024-06-21 01:26:23.895502"
"wafts of terpenes","2024-06-21 01:26:31.327711"
"Hmmmmmm","2024-06-21 01:26:37.122317"
"Deadly kush","2024-06-21 01:26:44.506105"
"THC tickle torture","2024-06-21 01:27:26.235624"
"Vampire wants me to tickle her until she dies","2024-06-21 01:28:42.875168"
"i said GHB makes you salavatingly horny","2024-06-21 01:29:05.061203"
"HELL YEAH","2024-06-21 01:29:47.328344"
"NOoooooooo","2024-06-21 01:29:52.614880"
"6 inches off predator cock","2024-06-21 01:30:14.788332"
"lmafo","2024-06-21 01:30:25.302114"
"Countercompensatory UAV is now online","2024-06-21 01:31:10.601831"
"4D Matter waves + sound activated","2024-06-21 01:31:31.197635"
"i've seen some impossible magical shit happening recently","2024-06-21 01:31:56.323918"
"How dare you get in my way","2024-06-21 01:32:42.858208"
"I love you theres gold within each individual in this server","2024-06-21 01:33:15.143135"
"God game","2024-06-21 01:33:27.838498"
"GG","2024-06-21 01:33:29.416513"
"Made with the help of god","2024-06-21 01:33:42.080141"
"We are gods","2024-06-21 01:34:03.234533"
"You should try Phenibut + Amphetamine","2024-06-21 01:34:42.859542"
"I love my brain is floating inside me","2024-06-21 01:35:40.548620"
"acromea i doesnt get better than pizza","2024-06-21 01:36:05.413892"
"Put joe rogan in a room with DMT + THC + SALVIA","2024-06-21 01:36:57.843581"
"Smoke salvia then you have you reclaim your bed","2024-06-21 01:37:16.041558"
"This confusion never ends","2024-06-21 01:37:37.234454"
"10 inch storgina","2024-06-21 01:38:00.531273"
"Storgina store in a gina","2024-06-21 01:38:12.698704"
"lacobeep","2024-06-21 01:38:55.492315"
"lamfo","2024-06-21 01:39:00.875702"
"yessi","2024-06-21 01:39:19.948941"
"MCMC1tothe3","2024-06-21 01:39:30.596618"
"lacobeet","2024-06-21 01:39:44.335644"
"Anti-gravity","2024-06-21 01:39:59.621885"
"Exotic matter 0 mass","2024-06-21 01:40:11.756154"
"EEE","2024-06-21 01:40:52.694671"
"NOT V","2024-06-21 01:40:55.346077"
"i'm a hacker","2024-06-21 01:41:08.607382"
"i hack into mothers","2024-06-21 01:41:25.021925"
"heisenberg bingus","2024-06-21 01:41:40.419995"
"AHAHAHA","2024-06-21 01:41:54.232750"
"Sam Hyde indian food review","2024-06-21 01:42:06.952088"
"Time to bind knife to E","2024-06-21 01:42:34.956429"
"Eeeeeeeeeeeee","2024-06-21 01:42:38.123994"
"Hitler liked poopy girls","2024-06-21 01:42:55.050180"
